Row Type,ID,Page,Redaction Description,Stated Reason,Stated Section,Typical Cth Section(s),Taxonomy Code,Pattern Flag(s),Doc Type,Notes
CODE_DICT,A1,,Direct identifiers: name; address; phone; email; ID numbers,,,s 47F,,,,Personal Privacy
CODE_DICT,A2,,Indirect identifiers: role plus small team context; unique events; rare attributes,,,s 47F,,,,Personal Privacy
CODE_DICT,A3,,Third-party spill: unrelated people caught in the record,,,s 47F,,,,Personal Privacy
CODE_DICT,B1,,Physical safety: threats; location risks,,,s 37(1)(c),,,,Safety and Security
CODE_DICT,B2,,System security: credentials; network details; security controls,,,s 33 / s 37,,,,Safety and Security
CODE_DICT,B3,,Operational security: routines; response playbooks,,,s 37(2),,,,Safety and Security
CODE_DICT,C1,,Supplied in confidence: externally provided information,,,s 45,,,,Confidentiality
CODE_DICT,C2,,Business or commercial confidence: procurement; pricing; negotiations,,,s 47 / s 47G,,,,Confidentiality
CODE_DICT,C3,,Inter-agency confidentiality: referral pathways; sharing constraints,,,s 47E / s 47C / s 47B (context-dependent),,,,Confidentiality
CODE_DICT,D1,,Drafting and iteration: working drafts; tracked changes,,,s 47C,,,,Decision-Process Protection
CODE_DICT,D2,,Deliberation material: opinions; advice; recommendations or internal debate forming part of a deliberative process (s 47C). Purely factual material excluded under s 47C(2)(b) unless intertwined with deliberative content,,,s 47C,,,,Decision-Process Protection
CODE_DICT,D2a,,Opinion or recommendation,,,s 47C,,,,Decision-Process Protection (sub-code of D2)
CODE_DICT,D2b,,Policy advice or options,,,s 47C,,,,Decision-Process Protection (sub-code of D2)
CODE_DICT,D2c,,Consultation between officials,,,s 47C,,,,Decision-Process Protection (sub-code of D2)
CODE_DICT,D3,,Legal material: advice; privilege claims; litigation posture,,,s 42,,,,Decision-Process Protection
CODE_DICT,E1,,Active investigations: integrity processes; HR investigations; ongoing audits,,,s 47E,,,,Enforcement and Operations
CODE_DICT,E2,,Law enforcement methods: offences; intelligence; policing methods,,,s 37,,,,Enforcement and Operations
CODE_DICT,E3,,Operational methods: complaint triage; audit triggers; risk scoring; compliance systems,,,s 47E,,,,Enforcement and Operations
FLAG_DICT,P1,,Over-redaction: job titles and dates removed even where identity risk is already eliminated,,,,,,,
FLAG_DICT,P2,,Inconsistency: same fact redacted in one place but disclosed elsewhere,,,,,,,
FLAG_DICT,P3,,Mosaic risk without explanation: could identify an individual asserted with no description of what combination creates the risk,,,,,,,
FLAG_DICT,P4,,Category drift: privacy invoked to remove operational embarrassment e.g. redacting process errors that do not identify anyone,,,,,,,
FLAG_DICT,P5,,Blanket application: entire paragraphs blacked out where only one sentence contains sensitive detail,,,,,,,
FLAG_DICT,P6,,Factual material removed under deliberative exemption: briefing statistics; background summaries or chronological facts redacted under s 47C despite being purely factual material excluded by s 47C(2)(b),,,,,,,
FLAG_DICT,P7,,Public interest test absent: decision states document is conditionally exempt but no public interest balancing reasoning appears as required by s 11A(5),,,,,,,
LOG,FOI-2024-001,3,Entire recommendation paragraph,Deliberative processes,s 47C,,D2,P5,Brief,Blanket redaction: only one sentence arguably deliberative
LOG,FOI-2024-001,4,Senior policy officer title,Personal privacy,s 47F,,A2,P1,Brief,Title alone does not identify individual in large agency
LOG,FOI-2024-001,7,Contractor pricing schedule,Business affairs,s 47G,,C2,,Brief,
LOG,FOI-2024-001,11,Name disclosed in footer,Inconsistent with p.1,not stated,,,P2,Brief,Same name redacted on p.1 but visible here
